;human;robot
0;0.00044049528273072696;0.00025295040711205896
1;0.0005492364232116013;0.00031496964771855545
2;0.0006811936877927203;0.00039016134249150156
3;0.0008403865859326467;0.0004808028861076493
4;0.0010313096983594829;0.000589444172205136
5;0.0012589404123034278;0.0007189140888238383
6;0.0015287351490199154;0.0008723211622151742
7;0.0018466118104072124;0.0010530471702684633
8;0.002218916252176639;0.0012647325899128687
9;0.0026523707893391204;0.001511252846991857
10;0.0031540030691551155;0.0017966845090364874
11;0.0037310541156373726;0.002125260805238971
12;0.004390864960222716;0.0025013161745083274
13;0.005140742019558711;0.0029292199284417716
14;0.005987802248840191;0.0034132995633947773
15;0.006938800063643321;0.003957754751643906
16;0.007999939051033578;0.004566563567975144
17;0.009176672539157937;0.0052433830422689166
18;0.01047349811313591;0.005991446644148965
19;0.011893752097683622;0.006813461772920269
20;0.013439410814355682;0.007711510713724498
21;0.01511090600462772;0.008686958798187932
22;0.01690696213425466;0.009740373646118527
23;0.018824463312237704;0.010871459339595066
24;0.020858357233773394;0.012079009174000357
25;0.02300160287033607;0.013360880232341001
26;0.025245167579115636;0.014713992439525031
27;0.027578077905844885;0.016134353982965907
28;0.029987526647722817;0.017617114057104016
29;0.03245903678492635;0.019156642835415152
30;0.03497668075661151;0.020746637437498584
31;0.037523351341836673;0.02238025149246729
32;0.04008107820955923;0.02405024476047874
33;0.04263138213197308;0.025749148221975375
34;0.04515565701826514;0.02746943913850421
35;0.047635568420517194;0.02920371988497492
36;0.050053456075806024;0.030944893898142374
37;0.05239272744571835;0.0326863319160482
38;0.05463822914048373;0.034422021820371726
39;0.05677658358755975;0.03614669584459884
40;0.05879647931393695;0.03785592966532333
41;0.06068890472046415;0.039546208924839385
42;0.06244731717249063;0.0412149599978439
43;0.06406774152958171;0.04286054325742392
44;0.0655487947863762;0.04448220864893666
45;0.06689163618392562;0.04608001497147198
46;0.06809984485811087;0.04765471581918018
47;0.06917922970232361;0.04920761657434047
48;0.07013757852618184;0.05074040810184405
49;0.07098435569381532;0.05225498381151773
50;0.07173035914424807;0.05375324748376351
51;0.07238734897236543;0.05523691966360884
52;0.07296766054315576;0.056707350502918946
53;0.07348381540734776;0.05816534667127663
54;0.0739481430872504;0.059611019379824895
55;0.07437242613071682;0.061043659700526
56;0.07476757972852247;0.062461646259301416
57;0.07514337570962022;0.06386238908821656
58;0.07550821893380365;0.06524231199840273
59;0.07586898206386798;0.0665968743440279
60;0.07623090249567328;0.06792063155069057
61;0.07659754293299881;0.06920733233877607
62;0.07697081479322551;0.07045004923822744
63;0.07735106139645948;0.07164133781363782
64;0.07773719579823743;0.07277341903715044
65;0.07812688624339525;0.07383837849192376
66;0.07851678060899597;0.07482837558208875
67;0.07890275992301718;0.07573585567792705
68;0.07928021013943336;0.07655375814008425
69;0.07964430085530359;0.07727571343785353
70;0.0799902595949146;0.07789622308968766
71;0.0803136306689198;0.07841081688724277
72;0.08061050843582761;0.07881618278869736
73;0.0808777360249019;0.07911026594787435
74;0.08111306218157113;0.07929233454241993
75;0.08131525080912788;0.07936301133214253
76;0.0814841399278871;0.07932427116929217
77;0.08162064906491348;0.07917940594583009
78;0.0817267364231862;0.07893295964787299
79;0.0818053094515645;0.07859063724521487
80;0.08186009453803963;0.07815919202837386
81;0.08189547337506492;0.07764629667688074
82;0.08191629500439795;0.07706040376835567
83;0.08192767356331368;0.076410601596112
84;0.08193478226893733;0.07570647104313737
85;0.08194265416282809;0.07495794886495319
86;0.08195599959159675;0.07417520207940868
87;0.08197904934784588;0.07336851727801479
88;0.08201543089357766;0.07254820760387398
89;0.08206808321513097;0.07172453893969745
90;0.08213921371541318;0.07090767557858332
91;0.08223029825159348;0.0701076443784182
92;0.0823421230989444;0.06933431519810565
93;0.08247486538970975;0.06859739434833395
94;0.08262820655896677;0.06790642692320586
95;0.08280147163332106;0.0672708032638007
96;0.08299378590934386;0.06669976447950313
97;0.083204239748968;0.06620240194084918
98;0.08343205190314316;0.06578764596444302
99;0.08367672196840388;0.0654642395238997
100;0.08393816326062879;0.06524069371096392
101;0.08421680850681056;0.06512522279209222
102;0.08451368223725975;0.06512565799862625
103;0.08483043551802368;0.06524934058379242
104;0.08516934059560302;0.06550299610158522
105;0.08553324502735933;0.06589259323361245
106;0.08592548683662214;0.0664231917350863
107;0.0863497740639145;0.0670987851217366
108;0.08681003369963808;0.0679221445169515
109;0.08731023631007676;0.06889467057745767
110;0.08785420365774249;0.07001626058597452
111;0.08844540723939119;0.07128519762650283
112;0.08908676591136634;0.07269806824480521
113;0.08978045065241136;0.07424971416175641
114;0.09052770405584368;0.07593322248376094
115;0.09132868138717566;0.07773995748814963
116;0.09218231904158526;0.07965963550841944
117;0.09308623504674725;0.08168044276799606
118;0.09403666494233613;0.0837891942803388
119;0.09502843499004729;0.08597153021834468
120;0.09605497328642848;0.08821214452751001
121;0.09710835801935687;0.0904950390829565
122;0.09817940087516872;0.09280379543346254
123;0.09925776250695242;0.0951218551928289
124;0.10033209604691021;0.09743279947904981
125;0.10139021391001028;0.09972061750401864
126;0.10241927260735384;0.10196995450903883
127;0.10340596997286587;0.1041663297398664
128;0.10433674910587568;0.10629631606120295
129;0.10519800343798937;0.10834767411112128
130;0.10597627763208664;0.11030943556132933
131;0.1066584594954061;0.11217193203305455
132;0.1072319587132349;0.11392676845733299
133;0.10768486895588088;0.1155667420829207
134;0.10800611074640556;0.11708571083043388
135;0.10818555336403275;0.1184784171610821
136;0.10821411495998341;0.11974027595736697
137;0.10808384093972077;0.12086713698273051
138;0.10778796147977135;0.1218550341806841
139;0.10732092976234117;0.12269993528348347
140;0.10667844309479926;0.1233975058332083
141;0.10585744950750527;0.12394290170362245
142;0.10485614267362298;0.12433060350708725
143;0.10367394805846518;0.12455430486795122
144;0.10231150308332754;0.12460686446996659
145;0.10077063378974607;0.1244803291061325
146;0.09905433003479291;0.1241660317781422
147;0.09716672066607746;0.12365476534641268
148;0.09511304945416091;0.122937028485866
149;0.09289965184397352;0.1220033369427094
150;0.09053393187301935;0.12084458950931565
151;0.08802433794108935;0.11945247493292967
152;0.0853803355502383;0.11781990333192291
153;0.08261237470629709;0.11594144376916958
154;0.07973184941774009;0.11381374854993839
155;0.07675104666784072;0.1114359446524419
156;0.073683082383293;0.10880997349451917
157;0.07054182227555314;0.10594086196900517
158;0.06734178597556548;0.10283691026993562
159;0.06409803359126535;0.09950978535967533
160;0.06082603465219764;0.09597451282896101
161;0.057541520319809455;0.09224936418048746
162;0.054260320682517564;0.08835564100374264
163;0.05099818986583411;0.08431736187776318
164;0.0477706225147736;0.08016086191820981
165;0.04459266589782125;0.07591431847287042
166;0.04147873239577923;0.07160721939272281
167;0.038442417441881475;0.06726979243114375
168;0.03549632805103283;0.06293241556539904
169;0.0326519269087162;0.058625028356344144
170;0.029919396590722593;0.054376563879215196
171;0.027307527873335916;0.0502144193335609
172;0.02482363530173602;0.04616398127922882
173;0.02247350225359012;0.04224821868762652
174;0.020261356713410082;0.0384873538075242
175;0.018189877913358514;0.03489861740033517
176;0.01626023295040681;0.03149609138156424
177;0.014472141508066501;0.02829063848546813
178;0.012823965937817549;0.025289915404125986
179;0.01131282322748378;0.022498463070424957
180;0.009934714828216422;0.019917865456933227
181;0.008684669944894155;0.01754696651577639
182;0.007556897722210847;0.015382133720657196
183;0.006544943775609191;0.013417556090320977
184;0.005641846708233978;0.0116455645425614
185;0.004840290600072226;0.010056962893815264
186;0.004132749925329941;0.008641358706755543
187;0.0035116239169527973;0.00738748440933738
188;0.0029693580194490765;0.006283500569164782
189;0.0024985507196000666;0.0053172748118691755
190;0.0020920446882110627;0.004476631531185819
191;0.0017430017773825434;0.003749569170367657
192;0.0014449619742224948;0.0031244433905469908
193;0.001191886896252426;0.0025901158270558392
194;0.0009781888144224768;0.0021360693302037554
195;0.0007987465006585299;0.0017524915684069536
196;0.0006489094173557767;0.0014303296288407158
197;0.0005244918998166449;0.0011613187864158397
198;0.00042175903652950296;0.0009379889386910176
199;0.0003374059363185904;0.0007536523431205926
